Ticker,Date,Ouverture,Haut,Bas,Clôture,Volume
ABJC,2020-01-02,1250.0,1255.0,1250.0,1255.0,1217
ABJC,2020-01-03,1260.0,1260.0,1255.0,1255.0,2258
ABJC,2020-01-06,1245.0,1250.0,1245.0,1250.0,120
ABJC,2020-01-07,1255.0,1260.0,1255.0,1260.0,5244
ABJC,2020-01-08,1300.0,1300.0,1205.0,1205.0,2745
ABJC,2020-01-09,1225.0,1225.0,1225.0,1225.0,170
ABJC,2020-01-10,1250.0,1295.0,1250.0,1295.0,2655
ABJC,2020-01-13,1290.0,1300.0,1290.0,1300.0,2518
ABJC,2020-01-14,1295.0,1300.0,1295.0,1300.0,75
ABJC,2020-01-15,1300.0,1300.0,1300.0,1300.0,543
ABJC,2020-01-16,1305.0,1310.0,1305.0,1310.0,1258
ABJC,2020-01-17,1395.0,1405.0,1395.0,1405.0,18
ABJC,2020-01-20,1450.0,1465.0,1450.0,1465.0,806
ABJC,2020-01-21,1510.0,1565.0,1510.0,1565.0,219
ABJC,2020-01-23,1510.0,1565.0,1510.0,1565.0,1479
ABJC,2020-01-24,1560.0,1560.0,1560.0,1560.0,825
ABJC,2020-01-27,1515.0,1525.0,1515.0,1525.0,1693
ABJC,2020-01-29,1500.0,1500.0,1500.0,1500.0,7297
ABJC,2020-01-30,1495.0,1500.0,1495.0,1500.0,1414
ABJC,2020-01-31,1495.0,1515.0,1495.0,1515.0,1757
ABJC,2020-02-03,1515.0,1520.0,1515.0,1520.0,464
ABJC,2020-02-04,1520.0,1570.0,1520.0,1570.0,335
ABJC,2020-02-05,1570.0,1570.0,1570.0,1570.0,184
ABJC,2020-02-06,1565.0,1565.0,1565.0,1565.0,27
ABJC,2020-02-07,1535.0,1535.0,1520.0,1520.0,473
ABJC,2020-02-10,1520.0,1520.0,1465.0,1465.0,3419
ABJC,2020-02-11,1500.0,1500.0,1465.0,1465.0,833
ABJC,2020-02-12,1500.0,1500.0,1465.0,1465.0,833
ABJC,2020-02-13,1360.0,1360.0,1360.0,1360.0,863
ABJC,2020-02-14,1360.0,1360.0,1360.0,1360.0,481
ABJC,2020-02-17,1320.0,1320.0,1305.0,1305.0,182
ABJC,2020-02-18,1315.0,1315.0,1315.0,1315.0,90
ABJC,2020-02-19,1410.0,1410.0,1315.0,1315.0,102
ABJC,2020-02-20,1320.0,1320.0,1310.0,1310.0,130
ABJC,2020-02-21,1315.0,1315.0,1305.0,1305.0,259
ABJC,2020-02-24,1310.0,1310.0,1310.0,1310.0,113
ABJC,2020-02-25,1310.0,1310.0,1310.0,1310.0,73
ABJC,2020-02-26,1315.0,1315.0,1310.0,1310.0,1930
ABJC,2020-02-27,1315.0,1315.0,1315.0,1315.0,507
ABJC,2020-02-28,1355.0,1355.0,1355.0,1355.0,5
ABJC,2020-03-02,1365.0,1365.0,1365.0,1365.0,10
ABJC,2020-03-03,1450.0,1450.0,1400.0,1400.0,205
ABJC,2020-03-04,1400.0,1405.0,1400.0,1405.0,102
ABJC,2020-03-05,1410.0,1455.0,1410.0,1455.0,18
ABJC,2020-03-06,1455.0,1455.0,1450.0,1450.0,211
ABJC,2020-03-09,1455.0,1465.0,1455.0,1465.0,9527
ABJC,2020-03-10,1465.0,1465.0,1465.0,1465.0,100
ABJC,2020-03-11,1465.0,1500.0,1465.0,1500.0,300
ABJC,2020-03-12,1495.0,1495.0,1495.0,1495.0,323
ABJC,2020-03-13,1410.0,1445.0,1410.0,1445.0,806
ABJC,2020-03-16,1420.0,1420.0,1405.0,1405.0,2341
ABJC,2020-03-17,1400.0,1400.0,1400.0,1400.0,7168
ABJC,2020-03-18,1400.0,1400.0,1370.0,1370.0,45
ABJC,2020-03-19,1300.0,1300.0,1270.0,1270.0,733
ABJC,2020-03-20,1255.0,1255.0,1255.0,1255.0,122
ABJC,2020-03-23,1235.0,1235.0,1170.0,1170.0,538
ABJC,2020-03-24,1170.0,1170.0,1100.0,1100.0,4900
ABJC,2020-03-25,1020.0,1020.0,1020.0,1020.0,1676
ABJC,2020-03-26,980.0,980.0,950.0,950.0,2160
ABJC,2020-03-27,900.0,1000.0,900.0,1000.0,1216
ABJC,2020-03-30,1000.0,1000.0,1000.0,1000.0,76
ABJC,2020-03-31,1000.0,1000.0,950.0,950.0,1112
ABJC,2020-04-01,1000.0,1000.0,950.0,950.0,149
ABJC,2020-04-02,950.0,1000.0,950.0,1000.0,366
ABJC,2020-04-06,1000.0,1000.0,1000.0,1000.0,1151
ABJC,2020-04-07,1000.0,1000.0,1000.0,1000.0,1526
ABJC,2020-04-14,1000.0,1020.0,1000.0,1020.0,3790
ABJC,2020-04-15,1095.0,1095.0,1095.0,1095.0,1025
ABJC,2020-04-16,1095.0,1100.0,1095.0,1100.0,94
ABJC,2020-04-21,1110.0,1110.0,1100.0,1100.0,400
ABJC,2020-04-22,1100.0,1100.0,1095.0,1095.0,202
ABJC,2020-04-23,1095.0,1095.0,1095.0,1095.0,22
ABJC,2020-04-24,1095.0,1095.0,1070.0,1070.0,69
ABJC,2020-04-27,1070.0,1070.0,1070.0,1070.0,80
ABJC,2020-04-28,1070.0,1070.0,1050.0,1050.0,378
ABJC,2020-04-29,1055.0,1070.0,1055.0,1070.0,212
ABJC,2020-04-30,1070.0,1070.0,1050.0,1050.0,1075
ABJC,2020-05-01,1070.0,1070.0,1050.0,1050.0,1075
ABJC,2020-05-04,1070.0,1070.0,1040.0,1040.0,1135
ABJC,2020-05-05,1030.0,1030.0,1030.0,1030.0,20
ABJC,2020-05-06,1030.0,1070.0,1030.0,1070.0,400
ABJC,2020-05-07,1025.0,1025.0,1025.0,1025.0,331
ABJC,2020-05-08,1070.0,1070.0,1070.0,1070.0,132
ABJC,2020-05-11,1025.0,1060.0,1025.0,1060.0,867
ABJC,2020-05-12,1060.0,1060.0,1040.0,1040.0,589
ABJC,2020-05-13,1000.0,1040.0,1000.0,1040.0,290
ABJC,2020-05-14,1040.0,1040.0,1000.0,1000.0,2020
ABJC,2020-05-15,1025.0,1050.0,1025.0,1050.0,577
ABJC,2020-05-18,1030.0,1050.0,1030.0,1050.0,240
ABJC,2020-05-19,1070.0,1070.0,1070.0,1070.0,645
ABJC,2020-05-22,1050.0,1050.0,1025.0,1025.0,361
ABJC,2020-05-25,1025.0,1025.0,1020.0,1020.0,436
ABJC,2020-05-26,1000.0,1000.0,980.0,980.0,2244
ABJC,2020-05-27,1000.0,1000.0,995.0,995.0,241
ABJC,2020-05-28,1000.0,1000.0,990.0,990.0,810
ABJC,2020-05-29,990.0,1000.0,990.0,1000.0,1087
ABJC,2020-06-01,990.0,1000.0,990.0,1000.0,1087
ABJC,2020-06-02,1000.0,1000.0,1000.0,1000.0,713
ABJC,2020-06-03,1000.0,1000.0,990.0,990.0,137
ABJC,2020-06-04,980.0,980.0,980.0,980.0,100
ABJC,2020-06-05,980.0,980.0,960.0,960.0,495
ABJC,2020-06-08,980.0,980.0,980.0,980.0,1918
ABJC,2020-06-09,980.0,980.0,980.0,980.0,256
ABJC,2020-06-10,980.0,1000.0,980.0,1000.0,179
ABJC,2020-06-11,1050.0,1075.0,1050.0,1075.0,180
ABJC,2020-06-12,1080.0,1085.0,1080.0,1085.0,258
ABJC,2020-06-15,1085.0,1095.0,1085.0,1095.0,475
ABJC,2020-06-16,1095.0,1095.0,1085.0,1085.0,164
ABJC,2020-06-17,1085.0,1085.0,1075.0,1075.0,338
ABJC,2020-06-18,1075.0,1075.0,1050.0,1050.0,203
