Ticker,ABJC,BNBC,BOAB,BOABF,BOAC,BOAM,BOAN,BOAS,CABC,CBIBF,CFAC,CIEC,ECOC,ETIT,FTSC,NSBC,NTLC,ONTBF,ORGT,PALC,SCRC,SDCC,SDSC,SGBC,SHEC,SIBC,SIVC,SMBC,SNTS,SOGC,SPHC,TTLC,TTLS,UNXC
ABJC,0.0012400354086446646,7.396054041564464e-05,3.899433800739277e-05,4.345440899029818e-05,3.582745252534766e-05,5.918897305076169e-05,4.345558388033064e-05,4.254871436943803e-05,5.438813449975832e-05,3.2476258490856655e-05,6.734385067745485e-05,4.417486422819059e-05,3.731751505689722e-05,5.392529372691081e-05,6.422617472193162e-05,4.336417798750525e-05,5.348306743339412e-05,3.82195259354519e-05,5.269156480504166e-05,7.406504273852808e-05,6.228423644198191e-05,4.192032837436911e-05,6.153876187146275e-05,3.45254854925891e-05,5.70766652535214e-05,3.24549575687961e-05,7.335303051961571e-05,6.199067613547308e-05,2.278922934252923e-05,5.774340428918279e-05,5.6929144885761764e-05,5.339561681714123e-05,4.2333615041774234e-05,6.976632817558103e-05
BNBC,7.396054041564464e-05,0.001355588699682293,3.8985381193796004e-05,4.425211774402405e-05,3.833940020676697e-05,5.845930047928288e-05,4.1755820955097586e-05,4.463546281545769e-05,7.103248340390806e-05,3.182409293009814e-05,6.672766002313393e-05,4.355708592790155e-05,3.55976896810988e-05,5.347632504029018e-05,7.431160973103555e-05,5.0891139146404215e-05,7.180226700855212e-05,3.8407756261471964e-05,5.5233873810658126e-05,7.246195561512072e-05,6.0104678878588144e-05,3.92828948369083e-05,5.90853763926736e-05,3.6155592706645586e-05,5.6694197689044025e-05,3.782958480141457e-05,7.345158002988168e-05,6.077629437475478e-05,2.0546471183660448e-05,5.81183292394701e-05,5.7119000284181465e-05,5.2384361837144596e-05,5.4272763556908535e-05,7.309798896537609e-05
BOAB,3.899433800739277e-05,3.8985381193796004e-05,0.0003790241447475603,2.901534243163766e-05,2.3539060513814835e-05,3.1806326395431055e-05,2.6868230045887678e-05,2.775792647007498e-05,3.188477945549816e-05,1.9856024364401746e-05,3.4633843250856435e-05,2.5496959631037158e-05,2.0438062111289873e-05,2.897484175043552e-05,3.8524841786879527e-05,3.084199406338857e-05,3.1152722558936555e-05,2.0974713664284196e-05,2.7175881217698204e-05,4.062000574869901e-05,3.526689389829491e-05,2.2593519994130835e-05,3.333979984960055e-05,1.867814618494745e-05,3.2991224971936455e-05,2.0020518780400526e-05,3.8629599283980546e-05,3.430126311859309e-05,1.2188764471390036e-05,3.2818661225935886e-05,3.372677615658485e-05,2.89823206278123e-05,2.8834202870535717e-05,3.717683900523806e-05
BOABF,4.345440899029818e-05,4.425211774402405e-05,2.901534243163766e-05,0.0004890702657142766,2.548439869099049e-05,3.7584252586674434e-05,2.9193858214540693e-05,2.999435971211529e-05,3.9537961712458257e-05,2.1932301679386034e-05,3.955170122606551e-05,2.6946937596060235e-05,2.5091321677236532e-05,3.2429530673816e-05,4.439495542938183e-05,3.614340955542773e-05,4.0620564968745534e-05,2.3637740239970873e-05,3.1958172185761656e-05,4.86193412883214e-05,3.975881893790948e-05,2.455433072438365e-05,3.5686238059787205e-05,2.0703430034273438e-05,3.723610521514327e-05,2.244150588293157e-05,4.341237703207602e-05,3.874449258589735e-05,1.3890383427345146e-05,3.745766171181388e-05,3.341005511926417e-05,3.344893841130065e-05,3.028271932615746e-05,3.940702310349247e-05
BOAC,3.582745252534766e-05,3.833940020676697e-05,2.3539060513814835e-05,2.548439869099049e-05,0.0004462595524453155,3.443610737240849e-05,2.698422059452278e-05,2.691353975377268e-05,3.898227508826483e-05,1.9469612885605378e-05,3.475305105389354e-05,2.7366091735615105e-05,2.239717949932328e-05,3.027276352624413e-05,3.9503864500568345e-05,3.28854836748284e-05,3.5557639898281165e-05,2.370870801526104e-05,3.371662840314654e-05,4.596480856919904e-05,3.51517890196667e-05,2.6162330505004496e-05,3.4284848295252794e-05,2.047741693868638e-05,3.258214608249179e-05,2.1724055262341836e-05,4.059547609279807e-05,3.487566410915614e-05,1.4634618450457083e-05,3.462719488326039e-05,3.440306455818663e-05,2.940054898959296e-05,3.0173511817691043e-05,4.1536462700448604e-05
BOAM,5.918897305076169e-05,5.845930047928288e-05,3.1806326395431055e-05,3.7584252586674434e-05,3.443610737240849e-05,0.0008875530020853019,3.6256770727610585e-05,3.992025882403856e-05,5.187455898893898e-05,2.6721422077239377e-05,5.0196506813648535e-05,3.9409261466646614e-05,3.1453325934491756e-05,4.387236645597741e-05,5.695569202874309e-05,4.6009179639692376e-05,5.325458860600072e-05,3.260101300579549e-05,4.389854278343571e-05,6.19059845801341e-05,5.2276139773100435e-05,3.336237919360012e-05,4.661180842166245e-05,2.9762556194490344e-05,4.5113052428663936e-05,2.8686680256387962e-05,5.5223987750339565e-05,4.726442608196354e-05,1.9001102083482722e-05,4.7029663366252215e-05,4.911547152666765e-05,3.922746059233929e-05,3.7641076657290285e-05,5.7336798283177355e-05
BOAN,4.345558388033064e-05,4.1755820955097586e-05,2.6868230045887678e-05,2.9193858214540693e-05,2.698422059452278e-05,3.6256770727610585e-05,0.0005162282076754015,2.709938052624204e-05,3.62830799730254e-05,1.9766038085768504e-05,3.916096859812924e-05,2.8747356408910578e-05,2.448108341971994e-05,3.3894505405095e-05,3.990718659078681e-05,2.9606475693701444e-05,3.8915530164159e-05,2.622306065555188e-05,3.522862027132103e-05,4.562431565836179e-05,4.087143854417906e-05,2.8738096976578845e-05,3.855782397754129e-05,2.2590325027913403e-05,3.339942739473268e-05,2.0946087372426255e-05,4.338394204080485e-05,3.730081545858557e-05,1.4479753283421017e-05,3.218751219061912e-05,3.609600508120319e-05,3.198355861778369e-05,2.8493571179634277e-05,3.9691661692292664e-05
BOAS,4.254871436943803e-05,4.463546281545769e-05,2.775792647007498e-05,2.999435971211529e-05,2.691353975377268e-05,3.992025882403856e-05,2.709938052624204e-05,0.0005385515568463652,4.353421898291012e-05,2.221727590057576e-05,3.785183766058185e-05,2.84968092122506e-05,2.5135824770075935e-05,3.6954000855987894e-05,4.438424822585349e-05,3.7093763266783224e-05,4.103117286085539e-05,2.648054544982456e-05,3.621734747022568e-05,4.68794809672005e-05,3.951781178280418e-05,2.773799532912945e-05,3.7927797178284916e-05,2.2456297878688478e-05,3.5972331212803055e-05,2.306016477171522e-05,4.3266184043237846e-05,3.977449221559609e-05,1.6240925709460713e-05,3.4984148160274647e-05,3.927917149388965e-05,3.4065696328651864e-05,3.286397994312421e-05,4.165819003527419e-05
CABC,5.438813449975832e-05,7.103248340390806e-05,3.188477945549816e-05,3.9537961712458257e-05,3.898227508826483e-05,5.187455898893898e-05,3.62830799730254e-05,4.353421898291012e-05,0.0012893636946863568,3.118707506911384e-05,5.700673525714845e-05,4.4284273821564955e-05,3.952859696338582e-05,5.0289437459807215e-05,6.874579644166169e-05,5.097570053957914e-05,7.343896307611287e-05,3.6446222171244824e-05,5.455190399892459e-05,7.782571179049226e-05,6.126605160600092e-05,4.2022013056305025e-05,5.125596289170729e-05,2.9346755804969676e-05,5.2165196370352006e-05,3.2727048291828077e-05,6.265662196729623e-05,5.988534282505388e-05,2.223066988582427e-05,5.537338234391556e-05,5.554570646705434e-05,4.636162759066798e-05,5.5677120973190553e-05,6.0532558370886524e-05
CBIBF,3.2476258490856655e-05,3.182409293009814e-05,1.9856024364401746e-05,2.1932301679386034e-05,1.9469612885605378e-05,2.6721422077239377e-05,1.9766038085768504e-05,2.221727590057576e-05,3.118707506911384e-05,0.00033149953702951544,2.766199440467697e-05,2.3905590342648235e-05,1.8011888689216808e-05,2.602079036732307e-05,3.244220700183923e-05,2.7642882987689233e-05,3.408955951730607e-05,2.1365221749823026e-05,2.7910281044647175e-05,3.9103560082559285e-05,3.271860789883766e-05,2.090670224774974e-05,2.7856960355110162e-05,1.678342111950737e-05,2.5708900941131532e-05,1.6439813263106974e-05,3.367473717749399e-05,2.937195112443979e-05,1.1174400859943831e-05,2.8263656820657674e-05,2.7744457529398903e-05,2.4945532643633294e-05,2.807135776889404e-05,3.1394387627220176e-05
