Date,ABJC,BNBC,BOAB,BOABF,BOAC,BOAM,BOAN,BOAS,CABC,CBIBF,CFAC,CIEC,ECOC,ETIT,FTSC,NSBC,NTLC,ONTBF,ORGT,PALC,SCRC,SDCC,SDSC,SGBC,SHEC,SIBC,SIVC,SMBC,SNTS,SOGC,SPHC,TTLC,TTLS,UNXC
2020-01-09,1225.0,680.0,1900.0,1850.0,1555.0,733.3333333333334,2062.5,1000.0,615.0,7800.0,415.0,1355.0,3200.0,14.0,1395.0,5795.0,365.0,2725.0,3995.0,1700.0,760.0,2800.0,1495.0,7785.0,780.0,1347.5,225.0,2500.0,15500.0,2295.0,1310.0,1450.0,1500.0,1685.0
2020-01-14,1300.0,700.0,1825.0,1800.0,1655.0,793.3333333333334,2003.125,1023.3333333333334,600.0,7950.0,430.0,1360.0,3115.0,13.0,1290.0,5650.0,345.0,2750.0,3995.0,1960.0,745.0,2790.0,1500.0,7730.0,750.0,1255.0,225.0,2550.0,15500.0,2170.0,1400.0,1450.0,1300.0,1695.0
2020-01-24,1560.0,735.0,1950.0,1860.0,1700.0,793.3333333333334,2190.625,1116.6666666666667,640.0,7900.0,460.0,1300.0,3390.0,14.0,1290.0,5650.0,280.0,2750.0,4070.0,2000.0,670.0,3100.0,1800.0,8200.0,880.0,1320.0,255.0,3395.0,15800.0,2750.0,1690.0,1390.0,1425.0,2000.0
2020-02-06,1565.0,730.0,1950.0,1865.0,1700.0,800.0,2250.0,1086.6666666666667,645.0,7800.0,455.0,1345.0,3150.0,13.0,1155.0,4840.0,300.0,2770.0,4000.0,2300.0,680.0,3210.0,1950.0,8505.0,885.0,1390.0,240.0,3400.0,15110.0,2605.0,1500.0,1390.0,1450.0,1795.0
2020-02-07,1520.0,700.0,1930.0,1860.0,1650.0,766.6666666666666,2250.0,1083.3333333333333,690.0,7800.0,450.0,1345.0,3100.0,13.0,1200.0,4850.0,295.0,2750.0,4000.0,2285.0,675.0,3215.0,1900.0,8520.0,850.0,1350.0,230.0,3200.0,15000.0,2675.0,1450.0,1390.0,1450.0,1740.0
2020-03-18,1370.0,680.0,1902.5,1775.0,1605.0,733.3333333333334,2371.875,1050.0,680.0,7795.0,465.0,1350.0,3100.0,13.0,1050.0,3415.0,270.0,3400.0,3850.0,1400.0,575.0,2800.0,1780.0,8600.0,795.0,1362.5,225.0,3000.0,13990.0,2020.0,1340.0,1465.0,1490.0,1505.0
2020-06-02,1000.0,580.0,1572.5,1625.0,1650.0,663.3333333333334,2187.5,1010.0,895.0,7600.0,390.0,1190.0,3190.0,13.0,975.0,3300.0,345.0,3305.0,3975.0,1180.0,550.0,2945.0,1400.0,7650.0,600.0,1260.0,200.0,2580.0,14000.0,1695.0,1200.0,1300.0,1400.0,1140.0
2020-06-19,1075.0,705.0,1825.0,1875.0,1572.5,666.6666666666666,2131.25,996.6666666666666,840.0,7745.0,430.0,1230.0,3400.0,13.0,1190.0,4000.0,355.0,3000.0,4000.0,1250.0,505.0,2850.0,1400.0,7650.0,675.0,1247.5,240.0,2740.0,12995.0,1755.0,1110.0,1400.0,1415.0,1040.0
2020-07-15,1290.0,695.0,1742.5,1665.0,1495.0,693.3333333333334,2200.0,933.3333333333334,815.0,7390.0,390.0,1200.0,3200.0,13.0,1195.0,3400.0,300.0,2925.0,3795.0,1155.0,500.0,2900.0,1380.0,7400.0,645.0,1200.0,210.0,2560.0,12500.0,1700.0,1020.0,1200.0,1205.0,970.0
2020-08-03,1100.0,650.0,1750.0,1587.5,1500.0,666.6666666666666,2125.0,933.3333333333334,795.0,7200.0,390.0,1210.0,2850.0,13.0,1190.0,3400.0,295.0,2840.0,3725.0,1100.0,465.0,2995.0,1300.0,7400.0,565.0,1240.0,220.0,2450.0,11875.0,1500.0,985.0,1345.0,1280.0,905.0
2020-11-19,965.0,650.0,1750.0,1625.0,1600.0,700.0,1937.5,930.0,1040.0,7400.0,380.0,1395.0,3255.0,13.0,1495.0,4100.0,350.0,2750.0,3800.0,1645.0,450.0,2700.0,1270.0,6950.0,665.0,1350.0,185.0,3100.0,11385.0,2180.0,1320.0,1145.0,1545.0,1095.0
2021-01-22,1080.0,645.0,1812.5,1820.0,1677.5,766.6666666666666,2187.5,970.0,1200.0,7745.0,395.0,1355.0,3395.0,13.0,1355.0,4095.0,550.0,2900.0,3895.0,3000.0,540.0,2975.0,1375.0,7100.0,650.0,1282.5,200.0,3600.0,11500.0,2470.0,1350.0,1280.0,1300.0,1055.0
2021-01-27,1065.0,640.0,1875.0,1825.0,1700.0,786.6666666666666,2218.75,996.6666666666666,1150.0,7745.0,400.0,1450.0,3400.0,13.0,1310.0,4150.0,635.0,3000.0,4000.0,3100.0,550.0,2995.0,1330.0,7505.0,645.0,1342.5,200.0,3600.0,11500.0,2465.0,1400.0,1290.0,1345.0,1050.0
2021-02-02,1055.0,650.0,2000.0,1845.0,1687.5,800.0,2218.75,946.6666666666666,1125.0,7800.0,445.0,1475.0,3255.0,13.0,1405.0,4500.0,745.0,3125.0,3785.0,3200.0,550.0,3000.0,1325.0,7995.0,600.0,1337.5,205.0,4000.0,11250.0,2400.0,1600.0,1245.0,1345.0,1050.0
2021-02-03,1000.0,640.0,1995.0,1850.0,1702.5,860.0,2243.75,996.6666666666666,1145.0,7750.0,475.0,1480.0,3390.0,13.0,1425.0,4500.0,745.0,2995.0,4000.0,3350.0,555.0,3000.0,1350.0,7995.0,600.0,1337.5,205.0,4070.0,11500.0,2405.0,1720.0,1290.0,1345.0,1050.0
2021-02-08,1040.0,605.0,1947.5,1945.0,1687.5,1063.3333333333333,2246.875,993.3333333333334,1100.0,7700.0,500.0,1490.0,3350.0,13.0,1405.0,4400.0,700.0,3000.0,4100.0,3500.0,550.0,2990.0,1350.0,7950.0,600.0,1305.0,205.0,3700.0,11200.0,2360.0,1700.0,1290.0,1275.0,1050.0
2021-02-11,970.0,600.0,1972.5,1900.0,1685.0,920.0,2231.25,960.0,1150.0,7650.0,435.0,1450.0,3325.0,13.0,1410.0,4150.0,605.0,3005.0,3500.0,3900.0,555.0,2990.0,1410.0,7600.0,580.0,1300.0,200.0,3315.0,11420.0,2370.0,1830.0,1200.0,1290.0,1040.0
2021-02-17,955.0,580.0,1925.0,1850.0,1697.5,810.0,2234.375,930.0,1145.0,7595.0,395.0,1400.0,3300.0,13.0,1400.0,3855.0,595.0,3100.0,3790.0,3500.0,570.0,2995.0,1450.0,8000.0,590.0,1292.5,205.0,3355.0,11300.0,2365.0,1700.0,1165.0,1345.0,1040.0
2021-02-24,935.0,640.0,1962.5,1865.0,1740.0,833.3333333333334,2250.0,893.3333333333334,1160.0,7690.0,370.0,1400.0,3290.0,13.0,1425.0,3500.0,700.0,3180.0,3800.0,3250.0,525.0,3050.0,1400.0,7985.0,585.0,1335.0,205.0,3610.0,11650.0,2540.0,1750.0,1250.0,1300.0,1000.0
2021-03-02,995.0,670.0,1980.0,1875.0,1725.0,843.3333333333334,2262.5,950.0,1310.0,7600.0,390.0,1410.0,3425.0,13.0,1410.0,3500.0,725.0,3335.0,3700.0,3245.0,520.0,3150.0,1400.0,7995.0,585.0,1347.5,205.0,3800.0,13000.0,2550.0,1845.0,1285.0,1305.0,1000.0
2021-03-03,985.0,670.0,1985.0,1805.0,1685.0,800.0,2284.375,950.0,1340.0,7600.0,405.0,1500.0,3500.0,13.0,1445.0,3450.0,750.0,3280.0,3650.0,3245.0,520.0,3100.0,1400.0,7990.0,585.0,1335.0,200.0,3920.0,12995.0,2550.0,1850.0,1285.0,1355.0,1000.0
2021-03-04,955.0,670.0,1980.0,1807.5,1725.0,803.3333333333334,2368.75,903.3333333333334,1350.0,7600.0,400.0,1500.0,3500.0,13.0,1450.0,3450.0,750.0,3290.0,3680.0,3195.0,515.0,3100.0,1410.0,7985.0,590.0,1330.0,200.0,4050.0,12935.0,2610.0,1860.0,1285.0,1355.0,995.0
2021-03-09,985.0,670.0,2000.0,1875.0,1725.0,833.3333333333334,2312.5,966.6666666666666,1495.0,7600.0,395.0,1455.0,3500.0,13.0,1485.0,3890.0,725.0,3300.0,3900.0,3150.0,565.0,3140.0,1410.0,7890.0,590.0,1330.0,205.0,3810.0,12590.0,2750.0,2000.0,1280.0,1355.0,995.0
2021-03-10,980.0,670.0,1990.0,1865.0,1725.0,833.3333333333334,2312.5,966.6666666666666,1470.0,7595.0,400.0,1455.0,3500.0,13.0,1485.0,3800.0,725.0,3295.0,3895.0,3150.0,550.0,3140.0,1450.0,7750.0,595.0,1335.0,200.0,3790.0,12400.0,2850.0,2020.0,1275.0,1340.0,990.0
2021-04-14,970.0,630.0,2050.0,1905.0,1987.5,846.6666666666666,2437.5,1050.0,1265.0,7600.0,430.0,1450.0,3210.0,13.0,1450.0,3655.0,590.0,3400.0,3830.0,3140.0,535.0,3300.0,1400.0,7800.0,590.0,1400.0,210.0,4060.0,13215.0,3000.0,2150.0,1280.0,1375.0,1000.0
2021-04-23,950.0,630.0,2000.0,1950.0,1900.0,830.0,2487.5,1046.6666666666667,1240.0,7490.0,435.0,1600.0,3600.0,13.0,1565.0,3605.0,720.0,3480.0,4000.0,3600.0,610.0,3440.0,1385.0,8100.0,585.0,1595.0,200.0,6695.0,13795.0,2875.0,2400.0,1275.0,1270.0,1030.0
2021-04-26,980.0,585.0,2000.0,1950.0,1875.0,840.0,2493.75,1046.6666666666667,1235.0,7500.0,435.0,1615.0,3595.0,13.0,1680.0,3800.0,770.0,3470.0,4000.0,3870.0,650.0,3450.0,1400.0,8050.0,590.0,1552.5,215.0,6255.0,13560.0,2900.0,2580.0,1280.0,1270.0,1015.0
2021-04-29,960.0,700.0,1990.0,1765.0,1900.0,916.6666666666666,2475.0,1046.6666666666667,1280.0,7695.0,435.0,1575.0,3590.0,13.0,1845.0,3995.0,950.0,3425.0,4075.0,4050.0,700.0,3395.0,1445.0,8100.0,580.0,1597.5,220.0,6000.0,13845.0,2750.0,2545.0,1280.0,1300.0,1035.0
2021-05-04,950.0,740.0,2000.0,1750.0,1920.0,926.6666666666666,2368.75,1056.6666666666667,1250.0,8400.0,415.0,1645.0,3345.0,13.0,1820.0,4150.0,1175.0,3395.0,4080.0,4675.0,750.0,3300.0,1350.0,8200.0,580.0,1550.0,220.0,6450.0,14000.0,2900.0,2510.0,1300.0,1300.0,1100.0
2021-05-07,955.0,850.0,2050.0,1872.5,1920.0,933.3333333333334,2306.25,1076.6666666666667,1250.0,8400.0,440.0,1500.0,3450.0,13.0,1795.0,4195.0,1450.0,3425.0,4000.0,3765.0,750.0,3300.0,1490.0,8000.0,580.0,1622.5,220.0,6320.0,14500.0,2900.0,2200.0,1485.0,1400.0,1050.0
2021-05-10,940.0,910.0,2050.0,1872.5,1800.0,900.0,2187.5,1066.6666666666667,1250.0,8290.0,440.0,1500.0,3300.0,13.0,1720.0,3885.0,1555.0,3410.0,3700.0,3485.0,750.0,3250.0,1490.0,8000.0,580.0,1600.0,235.0,6400.0,14505.0,2700.0,2200.0,1400.0,1405.0,1060.0
2021-05-14,955.0,1040.0,2075.0,1850.0,1725.0,933.3333333333334,2187.5,1083.3333333333333,1290.0,8000.0,440.0,1500.0,3200.0,13.0,1800.0,3800.0,1795.0,3475.0,3895.0,3465.0,705.0,3300.0,1440.0,8005.0,585.0,1600.0,265.0,6400.0,13500.0,2900.0,2300.0,1410.0,1405.0,1110.0
2021-05-17,1000.0,1000.0,2075.0,1850.0,1797.5,900.0,2250.0,1070.0,1250.0,8200.0,435.0,1500.0,3225.0,13.0,1800.0,3885.0,1925.0,3475.0,3800.0,3535.0,705.0,3300.0,1495.0,8100.0,585.0,1600.0,280.0,6650.0,13600.0,2900.0,2305.0,1415.0,1445.0,1150.0
2021-05-18,1045.0,1075.0,1987.5,1875.0,1750.0,900.0,2250.0,1100.0,1250.0,8200.0,430.0,1600.0,3250.0,13.0,1825.0,3800.0,2065.0,3490.0,4000.0,3800.0,695.0,3300.0,1470.0,8250.0,590.0,1600.0,300.0,6650.0,13500.0,2900.0,2400.0,1480.0,1410.0,1130.0
2021-05-20,1045.0,1200.0,1825.0,1850.0,1700.0,866.6666666666666,2206.25,1120.0,1250.0,8000.0,435.0,1585.0,3200.0,13.0,1820.0,3820.0,2380.0,3590.0,3975.0,4100.0,690.0,3200.0,1405.0,8490.0,590.0,1645.0,340.0,6885.0,13600.0,2895.0,2310.0,1480.0,1405.0,1200.0
2021-05-21,1005.0,1200.0,1825.0,1872.5,1700.0,840.0,2206.25,1120.0,1285.0,7800.0,430.0,1585.0,3250.0,13.0,1800.0,3850.0,2555.0,3600.0,3710.0,4350.0,685.0,3300.0,1455.0,8450.0,585.0,1650.0,365.0,6890.0,14000.0,2945.0,2400.0,1475.0,1445.0,1180.0
2021-05-24,1005.0,1200.0,1825.0,1872.5,1700.0,840.0,2206.25,1120.0,1285.0,7800.0,430.0,1585.0,3250.0,13.0,1800.0,3850.0,2555.0,3600.0,3710.0,4350.0,685.0,3300.0,1455.0,8450.0,585.0,1650.0,365.0,6890.0,14000.0,2945.0,2400.0,1475.0,1445.0,1180.0
2021-05-25,1045.0,1190.0,1875.0,1872.5,1700.0,866.6666666666666,2206.25,1140.0,1285.0,7790.0,400.0,1585.0,3350.0,13.0,1850.0,3855.0,2745.0,3650.0,3880.0,4100.0,680.0,3440.0,1410.0,8505.0,590.0,1650.0,390.0,6900.0,14150.0,2940.0,2500.0,1480.0,1440.0,1180.0
2021-05-27,1045.0,1150.0,1897.5,1862.5,1700.0,896.6666666666666,2250.0,1196.6666666666667,1275.0,7790.0,430.0,1600.0,3425.0,13.0,1900.0,4305.0,3170.0,3580.0,4000.0,3920.0,700.0,3640.0,1420.0,8700.0,605.0,1652.5,410.0,7100.0,14400.0,3000.0,2500.0,1470.0,1410.0,1350.0
2021-05-31,1040.0,1175.0,1922.5,1862.5,1850.0,913.3333333333334,2281.25,1096.6666666666667,1270.0,7695.0,490.0,1680.0,3400.0,13.0,1985.0,4450.0,3400.0,3175.0,4030.0,4000.0,745.0,4100.0,1455.0,8850.0,600.0,1690.0,435.0,7195.0,13800.0,3000.0,2550.0,1400.0,1445.0,1345.0
