ticker,mu_brut_annualise,mu_bayes_stein_annualise
ABJC,20.819037152500066,22.977777959559102
BNBC,22.609959089420975,23.674697412987594
BOAB,32.88546430047994,27.673308032334244
BOABF,24.47748839020123,24.40142785987638
BOAC,37.962556614993844,29.64900799328306
BOAM,40.387005162472285,30.59245802409743
BOAN,14.959215868195269,20.697486807579835
BOAS,42.356068166577884,31.35869930145141
CABC,40.497998640505436,30.63565003177253
CBIBF,23.721137718291867,24.10710152102233
CFAC,30.55294113755847,26.76562985033188
CIEC,28.785942402768473,26.078019872994794
ECOC,34.29526038027276,28.221916150376536
ETIT,23.68341558557222,24.092422328381286
FTSC,7.603324694491345,17.835014942909392
NSBC,26.138916658943074,25.047956140697448
NTLC,79.77512612779464,45.91995341561765
ONTBF,0.5730359501356138,15.099248024120888
ORGT,-7.881704541040188,11.809169880279278
PALC,34.53153718047858,28.31386091640044
SCRC,31.58950024217168,27.1689965129098
SDCC,30.889755521459545,26.896697816777564
SDSC,9.990143860036426,18.763821874128407
SGBC,34.0086629725803,28.110389620601346
SHEC,21.78856378458802,23.35505960237643
SIBC,40.113985417024686,30.486215106497323
SIVC,50.43760241056104,34.50354794731905
SMBC,41.11764658941459,30.87677986606018
SNTS,13.438891793019279,20.10586781980448
SOGC,27.371831545082287,25.527732702064082
SPHC,38.175450643748704,29.73185358643779
TTLC,14.990024012365936,20.70947549036602
TTLS,20.700918907785187,22.931813419815878
UNXC,0.0625349424560325,14.900591636082874
